n,k_frac,k,my_time,python_time
100,0.01,1,12683,4508
100,0.01,1,8766,5481
100,0.01,1,8095,4619
100,0.01,1,7524,4669
100,0.01,1,7434,4578
100,0.01,1,7384,4588
100,0.01,1,7013,4438
100,0.01,1,7273,4819
100,0.01,1,7174,4458
100,0.01,1,7264,4639
100,0.01,1,7093,12634
100,0.01,1,8386,5130
100,0.01,1,7754,4478
100,0.01,1,7123,4648
100,0.01,1,7034,10800
100,0.01,1,8175,5060
100,0.01,1,8005,4438
100,0.01,1,7454,4739
100,0.01,1,7213,4439
100,0.01,1,7003,4709
100,0.05,5,8677,8666
100,0.05,5,8706,8076
100,0.05,5,8516,7363
100,0.05,5,8095,7153
100,0.05,5,8155,7755
100,0.05,5,8066,7474
100,0.05,5,7965,7374
100,0.05,5,8336,7444
100,0.05,5,7885,7094
100,0.05,5,7995,7383
100,0.05,5,7834,7444
100,0.05,5,7854,7313
100,0.05,5,7745,7424
100,0.05,5,7804,7153
100,0.05,5,7654,6943
100,0.05,5,7784,7313
100,0.05,5,7675,6813
100,0.05,5,7714,7414
100,0.05,5,9648,8065
100,0.05,5,8205,7384
100,0.09,9,11050,7745
100,0.09,9,8736,7334
100,0.09,9,8556,7393
100,0.09,9,8636,7393
100,0.09,9,8576,7554
100,0.09,9,8506,7324
100,0.09,9,8526,7284
100,0.09,9,8386,7504
100,0.09,9,8206,7003
100,0.09,9,8336,7314
100,0.09,9,8206,7274
100,0.09,9,8356,7404
100,0.09,9,8405,6973
100,0.09,9,8245,7574
100,0.09,9,8325,7434
100,0.09,9,8276,7153
100,0.09,9,8175,7464
100,0.09,9,8175,7123
100,0.09,9,8365,7263
100,0.09,9,10339,8206
100,0.13,13,9908,7403
100,0.13,13,9398,7584
100,0.13,13,9307,7525
100,0.13,13,8957,7394
100,0.13,13,9187,7344
100,0.13,13,9248,7624
100,0.13,13,9217,7374
100,0.13,13,9278,7474
100,0.13,13,9097,7324
100,0.13,13,9087,7585
100,0.13,13,9107,7284
100,0.13,13,9237,7554
100,0.13,13,8797,7374
100,0.13,13,9087,7414
100,0.13,13,8997,7454
100,0.13,13,8877,7534
100,0.13,13,8736,7264
100,0.13,13,8977,7504
100,0.13,13,9037,7404
100,0.13,13,8867,7524
100,0.17,17,11120,7915
100,0.17,17,10189,7655
100,0.17,17,9789,7394
100,0.17,17,9728,7545
100,0.17,17,9528,7384
100,0.17,17,9738,7524
100,0.17,17,9538,7404
100,0.17,17,9618,7484
100,0.17,17,9478,7294
100,0.17,17,9398,7544
100,0.17,17,9428,7454
100,0.17,17,9307,7544
100,0.17,17,9248,7324
100,0.17,17,9568,7604
100,0.17,17,9588,7314
100,0.17,17,9337,7303
100,0.17,17,9458,7434
100,0.17,17,9377,7514
100,0.17,17,9317,7344
100,0.17,17,9608,7313
100,0.21,21,13866,8146
100,0.21,21,10439,7764
100,0.21,21,10419,7494
100,0.21,21,10119,7494
100,0.21,21,10088,7383
100,0.21,21,9998,7454
100,0.21,21,10260,7414
100,0.21,21,10189,7785
100,0.21,21,10139,7544
100,0.21,21,9829,7294
100,0.21,21,9929,7203
100,0.21,21,9758,7364
100,0.21,21,9919,7494
100,0.21,21,10049,7665
100,0.21,21,10119,7364
100,0.21,21,9869,7424
100,0.21,21,9909,7253
100,0.21,21,11151,7413
100,0.21,21,9859,7313
100,0.21,21,11892,8085
100,0.25,25,11522,7554
100,0.25,25,11101,7695
100,0.25,25,10870,7414
100,0.25,25,10820,7785
100,0.25,25,44062,8056
100,0.25,25,11401,7755
100,0.25,25,10940,7665
100,0.25,25,11121,7454
100,0.25,25,10810,7534
100,0.25,25,10750,7494
100,0.25,25,10790,7344
100,0.25,25,10690,7544
100,0.25,25,10640,7554
100,0.25,25,10480,7524
100,0.25,25,10460,7394
100,0.25,25,10590,7354
100,0.25,25,10489,7324
100,0.25,25,18124,9157
100,0.25,25,11572,7784
